particles,gpu_tree_ms,spread,cpu_tree_ms,gpu_direct_ms,walk_ms,ordering_ms,gathering_ms,construction_ms,staging_ms,scatter_ms,nodes,depth,particle_particle,particle_cell,node_visits
1024,0.281272,0.0368007,0.805477,0.179965,0.227,0.027,0.0016,0.004,0.0002,0.0012,171,7,599013,46347,169024
2048,0.54984,0.0680489,2.44115,0.355061,0.4034,0.0839,0.0032,0.0125,0.0003,0.0091,320,7,1769686,230631,601600
4096,1.02655,0.0429058,4.73688,0.68955,0.7038,0.2256,0.0075,0.0258,0.0005,0.0088,568,8,4951605,869657,1886912
8192,1.70164,0.0359048,10.6717,1.54833,1.2081,0.8096,0.0254,0.069,0.0018,0.0285,1064,8,12260790,3141652,6007488
16384,2.92137,0.0283247,25.9182,7.07257,1.4828,1.1382,0.0392,0.124,0.0025,0.0651,2171,9,26076583,10468631,18588896
32768,6.59,0.0382073,63.9692,22.1898,3.3759,2.5819,0.0888,0.2459,0.0056,0.1314,4141,9,56079033,30299593,51302944
65536,13.8775,0.0634118,145.827,79.1749,6.5991,5.3485,0.2124,0.4925,0.0144,0.446,7924,10,111904700,79704340,127927936
131072,45.2492,0.151961,336.994,296.232,15.328,46.1582,1.1374,2.2887,0.0339,1.9705,16488,10,200493298,200445306,309372512
262144,59.8036,0.0405695,731.99,,27.4416,28.4118,1.565,2.0407,0.065,1.6465,31411,11,433242746,462344535,692994208
524288,129.89,0.0222265,,,54.7973,59.7613,5.0692,4.2717,0.1502,4.8411,62242,11,517317717,1130597683,1613433408
1048576,415.005,0.0666983,,,121.761,212.571,15.4801,19.9516,0.5432,27.3061,130445,11,869389575,2466739668,3472913824
2097152,603.459,0.0868485,,,241.816,261.444,34.5079,18.8256,0.7664,32.1867,246602,12,2021992344,5155896485,7181863232
