opening_angle,quadrupole,median_ms,spread,worst_error,rms_error,particle_particle,particle_cell
0.2,0,123.314,0.0529657,0.000352976,0.000111441,134715958,11201551
0.4,0,50.0838,0.0792572,0.00457037,0.00105556,43064721,12040761
0.5,0,34.5502,0.0711371,0.0104213,0.00194113,26151212,10419461
0.7,0,19.3249,0.039131,0.025227,0.00436187,11645076,7899387
1,0,11.3277,0.0518687,0.0665403,0.0100584,4545922,5776885
0.2,1,134.761,0.0902767,7.19075e-05,3.04595e-05,134715958,11201551
0.4,1,59.7108,0.0669242,0.00206871,0.000469947,43064721,12040761
0.5,1,43.8715,0.0473998,0.00768275,0.000976116,26151212,10419461
0.7,1,26.4285,0.0501637,0.0156201,0.00265117,11645076,7899387
1,1,15.97,0.0606114,0.0299393,0.00768151,4545922,5776885
